id,street,street_from,street_to,install_year,verify_install_year,verify_install_year_diff,install_type,verify_install_type,road_type,road_type_recode,verify_install_date,verify_install_comment,verify_upgrade1_year,verify_upgrade1_date,verify_upgrade1_type,verify_upgrade1_comment,verify_upgrade2_year,verify_upgrade2_date,verify_upgrade2_type,verify_upgrade2_comment,verify_misclass,geometry_len_km,clean_install_date_raw_count,clean_install_date_type,clean_install_date,clean_install_date_start,clean_install_date_end,clean_install_date_prepost,clean_install_date_notes,clean_upgrade1_date_raw_count,clean_upgrade1_date_type,clean_upgrade1_date,clean_upgrade1_date_start,clean_upgrade1_date_end,clean_upgrade1_date_prepost,clean_upgrade1_date_notes,clean_upgrade2_date_raw_count,clean_upgrade2_date_type,clean_upgrade2_date,clean_upgrade2_date_start,clean_upgrade2_date_end,clean_upgrade2_date_prepost,clean_upgrade2_date_notes,clean_install_semester,clean_upgrade1_semester,clean_upgrade2_semester,geometry_wkb
"70",Poplar Plains Rd,Boulton Dr,Macpherson Ave,2001,2007,6,Bike Lane,PL,Collector,Collector,pre Sep 2007,"Sep 2007 SV: https://www.google.ca/maps/@43.6769766,-79.4028037,3a,75y,2.28h,72.01t/data=!3m7!1e1!3m5!1sgJREgcXifbrOxf_3FMZqvA!2e0!5s20070901T000000!7i3328!8i1664?entry=ttu",,,,"No infrastructure type upgrade, PL was improved with extended lines and addition of road markings and green paint",,,,,,0.050113557357838,21,pre_month,,,,2007-09,,,,,,,,,,,,,,,,,,,"MULTILINESTRING ((-79.40298 43.67684, -79.40296 43.67689, -79.40294 43.67693, -79.40292 43.67699, -79.40292 43.67706, -79.40292 43.67711, -79.40294 43.67728))"
"71",Leaside Bdge,Millwood Rd,Donlands Ave,2001,2009,8,Bike Lane,PL,Major Arterial,Arterial,Pre-2009,"PL installed pre-2009, no upgrade since: https://www.google.com/maps/@43.6988833,-79.3502006,3a,15y,197.74h,84.54t/data=!3m7!1e1!3m5!1sY0v2HBrEtay_f7XIoDM7Aw!2e0!5s20090401T000000!7i13312!8i6656?entry=ttu",,,,,,,,,,0.444806278702236,209,pre_year,,,,"2009",,,,,,,,,,,,,,,,,,,"MULTILINESTRING ((-79.34927 43.6972, -79.34963 43.69784, -79.34975 43.69805, -79.34998 43.69843, -79.35056 43.69941, -79.35092 43.69999, -79.35143 43.70089))"
"72",Pape Ave,Hopedale Ave,Donlands Ave,2001,2009,8,Bike Lane,PL,Major Arterial,Arterial,Pre-2009,"PL Pre-2009: https://www.google.com/maps/@43.6970376,-79.3494214,3a,28.8y,200.05h,79.03t/data=!3m7!1e1!3m5!1s2WbN3teIrvDEdEhpHrXvcQ!2e0!5s20090401T000000!7i13312!8i6656?entry=ttu",,,,,,,,,,0.0517695119496421,209,pre_year,,,,"2009",,,,,,,,,,,,,,,,,,,"MULTILINESTRING ((-79.34945 43.69677, -79.34939 43.69684, -79.34933 43.69691, -79.3493 43.69698, -79.34928 43.69705, -79.34927 43.6972))"
"73",Poplar Plains Rd,Cottingham Rd,Boulton Dr,2001,2007,6,Bike Lane,PL,Collector,Collector,pre Sep 2007,"Sep 2007 SV: https://www.google.ca/maps/@43.6780556,-79.403141,3a,75y,356.25h,76.3t/data=!3m7!1e1!3m5!1sdvKnYEsrm4W8xv_-uhMDBA!2e0!5s20070901T000000!7i3328!8i1664?entry=ttu'",,,,"No infrastructure type upgrade, PL was improved with extended lines and addition of road markings",,,,,,0.0901583509779825,21,pre_month,,,,2007-09,,,,,,,,,,,,,,,,,,,"MULTILINESTRING ((-79.40294 43.67728, -79.40292 43.67744, -79.40293 43.67749, -79.40295 43.67754, -79.40315 43.67792, -79.4032 43.67806))"
"74",Prince Arthur Ave,St George St,Bedford Rd,2001,2009,8,Bike Lane,PL,Local,Local,Pre-2009,"PL Pre-2009: https://www.google.com/maps/@43.6690151,-79.3989086,3a,43.6y,250.17h,83.1t/data=!3m7!1e1!3m5!1sJRdrddVkUoAl1y7r-AIzvA!2e0!5s20090701T000000!7i13312!8i6656?entry=ttu",,,,,,,,,,0.201042854536073,209,pre_year,,,,"2009",,,,,,,,,,,,,,,,,,,"MULTILINESTRING ((-79.39791 43.66923, -79.40032 43.66874))"
"75",Steeles Ave E,210.8 M W Beare Rd,Beare Rd,2001,2009,8,Bike Lane - Buffered,BUF,Minor Arterial,Arterial,pre 2009,"PL (BUF) installed pre 2009, see signs duiring this time, no upgrades since: https://www.google.com/maps/@43.8526715,-79.1819709,3a,26.1y,244.92h,84.09t/data=!3m7!1e1!3m5!1sUU02UOMaZ6z9bsq_Xcfa0g!2e0!5s20090501T000000!7i13312!8i6656?entry=ttu",,,,,,,,,,0.210328082187802,5,pre_year,,,,"2009",,,,,,,,,,,,,,,,,,,"MULTILINESTRING ((-79.18251 43.85256, -79.1824 43.85259, -79.18144 43.85283, -79.18002 43.85317))"
"90",Lake Shore Blvd W,43.4 M N Shore Breeze Dr,157.4 M S/W Marine Parade Dr,2001,2016,15,Bike Lane,PL,Major Arterial,Arterial,,"Painted Lane: https://www.google.com/maps/@43.6269549,-79.4793084,3a,40.9y,96.58h,81.25t/data=!3m8!1e1!3m6!1sL1mNXpsItQJ2T3z6bACq0w!2e0!5s20220901T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DL1mNXpsItQJ2T3z6bACq0w%",,,,,,,,,,0.548831532417158,,,,,,,,,,,,,,,,,,,,,,,,,"MULTILINESTRING ((-79.48034 43.62451, -79.48015 43.6249, -79.48 43.62521, -79.47979 43.62564, -79.4794 43.62646, -79.47912 43.62711, -79.47909 43.62717, -79.47902 43.62731, -79.47876 43.62796, -79.47867 43.62827, -79.47863 43.62841, -79.47858 43.62852, -79.47846 43.62874, -79.47829 43.62895, -79.47812 43.62916))"
"237",Colborne Lodge Dr,The Queensway,Lake Shore Blvd W,2001,2009,8,Bike Lane,PL,Collector,Collector,Pre-2009,"(k) existed pre-2009 as a PL: https://www.google.com/maps/@43.638354,-79.4591583,3a,42.5y,116.01h,79.89t/data=!3m7!1e1!3m5!1sOJOij60I6c4va19M6wPkMw!2e0!5s20090601T000000!7i13312!8i6656?entry=ttu",2021,Jun-July 2021,BUF,"Seen as PL up to June 2021, on google earth see upgraded to BUF in July 2021.",,,,,,0.206641173582097,209,pre_year,,,,"2009",,1,range,,2021/06/01,2021-07-31,,,,,,,,,,,1,,"MULTILINESTRING ((-79.4589 43.63771, -79.45897 43.63797, -79.45897 43.63798, -79.45914 43.63862, -79.45914 43.63863, -79.4592 43.63887, -79.45922 43.63896, -79.45924 43.63903, -79.45927 43.63912, -79.45936 43.63945, -79.45939 43.63954))"
"241",Millwood Rd,22.1 M W Hepc,83.8 M E Hepc,2001,2013,12,Bike Lane,PL,Major Arterial,Arterial,,Road diamonds added around 2013,,,,,,,,,,0.10566755967472,,,,,,,,,,,,,,,,,,,,,,,,,"MULTILINESTRING ((-79.3549 43.70202, -79.3544 43.70205, -79.35398 43.70206, -79.35364 43.70206, -79.35359 43.70205))"
"274",Millwood Rd,Leaside Bdge,83.8 M E Hepc,2001,2013,12,Bike Lane,PL,Major Arterial,Arterial,,"PL installed, seen around 2013 on sat imagery.",,,,,,,,,,0.226397034485897,,,,,,,,,,,,,,,,,,,,,,,,,"MULTILINESTRING ((-79.35359 43.70205, -79.35337 43.70204, -79.35315 43.702, -79.35284 43.70192, -79.35278 43.70189, -79.35271 43.70186, -79.35261 43.7018, -79.35249 43.70175, -79.35237 43.7017, -79.35226 43.70163, -79.35218 43.70158, -79.35206 43.70151, -79.35195 43.70142, -79.35183 43.70133, -79.35174 43.70125, -79.35167 43.70118, -79.3516 43.70111, -79.35153 43.70103, -79.35148 43.70097, -79.35143 43.70089))"
"275",Royal York Rd,Eglinton Ave West Trl,Ashley Park Rd,2001,2007,6,Bike Lane,PL,Minor Arterial,Arterial,Pre-2007,"Sep 2007 SV: https://www.google.com/maps/@43.6656398,-79.5194797,3a,75y,157h,82.19t,0r/data=!3m7!1e1!3m5!1sQ8IGtw246WITKGnsomNWjg!2e0!5s20070901T000000!7i3328!8i1664?entry=ttu",,,,"No upgrades; SV Oct 2021: https://www.google.com/maps/@43.6658753,-79.5195007,3a,75y,335.99h,74.44t/data=!3m7!1e1!3m5!1sBZ2zwxCQVmhYCGXpk3_72g!2e0!5s20211001T000000!7i16384!8i8192?entry=ttu",,,,,,2.18171213870454,91,pre_year,,,,"2007",,,,,,,,,,,,,,,,,,,"MULTILINESTRING ((-79.51851 43.66338, -79.51916 43.66491, -79.51965 43.66595, -79.52017 43.66727, -79.52028 43.66758, -79.52065 43.66842, -79.52099 43.66919, -79.521 43.66922, -79.52109 43.66948, -79.52138 43.67011, -79.52179 43.67116, -79.52195 43.67155, -79.52213 43.67196, -79.52227 43.6723, -79.5224 43.67254, -79.52252 43.67279, -79.52254 43.67284, -79.52283 43.67336, -79.52313 43.67394, -79.52337 43.67453, -79.52338 43.67456, -79.52368 43.67539, -79.52371 43.67544, -79.52432 43.67698, -79.52462 43.67771, -79.5253 43.67928, -79.52596 43.68084, -79.52602 43.68098, -79.52627 43.68156, -79.52652 43.68212))"
"276",Royal York Rd,Braecrest Ave,La Rose Ave,2001,2009,8,Bike Lane,PL,Minor Arterial,Arterial,Pre-2009,"PL installed pre-2009, no upgrades since: https://www.google.com/maps/@43.6914509,-79.53057,3a,15y,349.31h,83.25t/data=!3m7!1e1!3m5!1sPx1fAnif57itwfbM1xbUFg!2e0!5s20090501T000000!7i13312!8i6656?entry=ttu",,,,,,,,,,1.30323004591148,209,pre_year,,,,"2009",,,,,,,,,,,,,,,,,,,"MULTILINESTRING ((-79.52741 43.68415, -79.52817 43.68587, -79.52893 43.68758, -79.52926 43.68832, -79.52928 43.68835, -79.53018 43.6904, -79.53035 43.69075, -79.53086 43.69187, -79.53141 43.69314, -79.53154 43.69345, -79.53163 43.69365, -79.53191 43.69429, -79.53237 43.69531))"
"277",Sherbourne St N,Maple Ave,Bloor St E,2001,2009,8,Bike Lane,PL,Collector,Collector,Pre 2009,"Majority PL over BUF, Pre 2009, no upgr, https://www.google.com/maps/@43.6746402,-79.3776448,3a,15y,327.74h,83.76t/data=!3m7!1e1!3m5!1sZSm80jQf6OlX9sSADtShdQ!2e0!5s20090401T000000!7i13312!8i6656?entry=ttu",,,,,,,,,,0.308282214645051,4,pre_year,,,,"2009",,,,,,,,,,,,,,,,,,,"MULTILINESTRING ((-79.37685 43.67236, -79.37714 43.67315, -79.37714 43.67315, -79.3774 43.67386, -79.37757 43.67434, -79.37786 43.67503))"
"317",Bedford Rd,Davenport Rd,Prince Arthur Ave,2001,2007,6,Bike Lane,PL,Minor Arterial,Arterial,pre Sep 2007,"Sep 2007 SV: https://www.google.com/maps/@43.6694542,-79.3979482,3a,75y,150.35h,64.62t/data=!3m7!1e1!3m5!1sriLMfTokUY49vMKo4tCLxg!2e0!5s20070901T000000!7i3328!8i1664?entry=ttu",,,,,,,,,,0.595011893921123,21,pre_month,,,,2007-09,,,,,,,,,,,,,,,,,,,"MULTILINESTRING ((-79.39791 43.66923, -79.3983 43.67021, -79.39832 43.67025, -79.39832 43.67033, -79.3983 43.6704, -79.39828 43.67046, -79.39827 43.67052, -79.39828 43.67057, -79.39855 43.67125, -79.39886 43.67201, -79.39914 43.67269, -79.39941 43.67336, -79.39984 43.67437))"
"318",Poplar Plains Rd,St Clair Ave W,Cottingham Rd,2001,2009,8,Bike Lane,PL,Collector,Collector,Pre-2009,"PL PRE 2009: https://www.google.com/maps/@43.6820097,-79.4021319,3a,15.6y,350.55h,76.8t/data=!3m7!1e1!3m5!1sbT1wr2au55J5jQubXVapQQ!2e0!5s20090501T000000!7i13312!8i6656?entry=ttu . No upgrades since.",,,,,,,,,,0.938686040659128,209,pre_year,,,,"2009",,,,,,,,,,,,,,,,,,,"MULTILINESTRING ((-79.4032 43.67806, -79.40307 43.67863, -79.40301 43.67915, -79.40301 43.67926, -79.40301 43.67935, -79.40301 43.67952, -79.40305 43.67969, -79.40305 43.67977, -79.40303 43.67984, -79.40298 43.67993, -79.40287 43.68008, -79.40255 43.68053, -79.40244 43.68065, -79.40233 43.68079, -79.40229 43.68086, -79.40227 43.68094, -79.40227 43.68102, -79.40226 43.68112, -79.40225 43.6812, -79.40224 43.68127, -79.40221 43.68134, -79.40216 43.68142, -79.40216 43.68149, -79.40214 43.68163, -79.40213 43.68175, -79.40212 43.68187, -79.40212 43.68202, -79.40221 43.68219, -79.40252 43.68293, -79.40269 43.68331, -79.40291 43.68379, -79.4031 43.68426, -79.40349 43.68518, -79.40388 43.68614))"
"319",Bay St,Davenport Rd,Yorkville Ave,2001,2007,6,Bike Lane,PL,Major Arterial,Arterial,pre Sep 2007,"Sep 2007 SV: https://www.google.com/maps/@43.6723239,-79.3905201,3a,75y,118.08h,65.78t/data=!3m7!1e1!3m5!1sH_stCfY4vQcaiDN2ZIw7PQ!2e0!5s20070901T000000!7i3328!8i1664?entry=ttu",,,,,,,,,,0.251223334174069,21,pre_month,,,,2007-09,,,,,,,,,,,,,,,,,,,"MULTILINESTRING ((-79.3902 43.67136, -79.39053 43.67214, -79.39069 43.67259, -79.39079 43.67272, -79.39101 43.67317, -79.39109 43.67331, -79.39119 43.6735))"
"320",Bayview Ave,400 M S  Arjay Cres,42.2 M N St Leonard's Ave,2001,2007,6,Bike Lane,PL,Major Arterial,Arterial,pre-2007,,,,,,,,,,,0.772776659386678,15,pre_year,,,,"2007",,,,,,,,,,,,,,,,,,,"MULTILINESTRING ((-79.38054 43.72587, -79.38104 43.72629, -79.38111 43.72634, -79.38114 43.72636, -79.38117 43.72638, -79.3812 43.72641, -79.38124 43.72643, -79.38127 43.72646, -79.3813 43.72648, -79.38132 43.72651, -79.38135 43.72653, -79.38138 43.72656, -79.38141 43.72659, -79.38143 43.72661, -79.38146 43.72664, -79.38149 43.72667, -79.38151 43.72669, -79.38153 43.72673, -79.38158 43.72678, -79.3816 43.72681, -79.38162 43.72684, -79.38164 43.72687, -79.38183 43.72728, -79.38184 43.7273, -79.38185 43.72733, -79.38186 43.72735, -79.38186 43.72737, -79.38187 43.7274, -79.38187 43.72742, -79.38188 43.72744, -79.38188 43.72747, -79.38189 43.72749, -79.38191 43.72771, -79.38191 43.72794, -79.3819 43.72804, -79.38145 43.73024, -79.38135 43.73065, -79.38114 43.73164, -79.38111 43.73176, -79.3811 43.73187, -79.38111 43.732, -79.38114 43.7322, -79.38118 43.73247, -79.38118 43.73247))"
"321",Davenport Rd,Macpherson Ave,Bedford Rd,2001,2009,8,Bike Lane,PL,Major Arterial,Arterial,Pre-2009,"May 2009 SV: https://www.google.com/maps/@43.6766889,-79.4030376,3a,75y,179.49h,62.93t/data=!3m7!1e1!3m5!1s7bGX57Cmbn68gbblHN0ndQ!2e0!5s20090501T000000!7i13312!8i6656?entry=ttu",,,,,,,,,,0.397561653809482,209,pre_year,,,,"2009",,,,,,,,,,,,,,,,,,,"MULTILINESTRING ((-79.39984 43.67437, -79.40016 43.67442, -79.40039 43.67447, -79.40054 43.67452, -79.40074 43.67462, -79.40259 43.67581, -79.40264 43.67588, -79.4027 43.67593, -79.40272 43.67597, -79.40276 43.67603, -79.40288 43.67635, -79.40293 43.67652, -79.40294 43.6766, -79.40296 43.67667, -79.40297 43.67673, -79.40298 43.67684))"
"322",Davenport Rd,Bedford Rd,Blackmore St,2001,2007,6,Bike Lane,PL,Major Arterial,Arterial,Pre-2007,"PL pre 2007: https://www.google.com/maps/@43.6747949,-79.3959458,3a,76.4y,68.55h,84.24t/data=!3m7!1e1!3m5!1sWe_YVnBtFe-n0pZ5oQXNzA!2e0!5s20070901T000000!7i3328!8i1664?entry=ttu",2022,"Mid October, 2022",PBL,PBL as determined through construction notice: https://www.toronto.ca/wp-content/uploads/2022/08/94e1-6-CPP-Installation-NoticeDavenportPhase2-FinalUpdateAODA.pdf,,,,,,0.782260741280321,91,pre_year,,,,"2007",,1,month,,2022/10/01,2022-10-31,,"Treated as October and ignored ""Mid""",,,,,,,,,1,,"MULTILINESTRING ((-79.39119 43.6735, -79.39122 43.67354, -79.39141 43.67375, -79.39154 43.67392, -79.39157 43.67394, -79.39159 43.67396, -79.39161 43.67398, -79.39165 43.674, -79.39168 43.67402, -79.39173 43.67404, -79.39199 43.67418, -79.39292 43.67471, -79.39348 43.67503, -79.39361 43.67508, -79.39371 43.67511, -79.39385 43.67516, -79.39394 43.67518, -79.39405 43.67519, -79.39418 43.67519, -79.39432 43.67518, -79.39443 43.67518, -79.39451 43.67516, -79.39483 43.67508, -79.39661 43.67472, -79.39797 43.67444, -79.39809 43.67442, -79.39834 43.67438, -79.39869 43.67435, -79.39898 43.67436, -79.39984 43.67437))"
"323",Jones Ave,Gerrard St E,Queen St E,2001,2007,6,Bike Lane,PL,Collector,Collector,pre Sep 2007,"Sep 2007 SV: https://www.google.com/maps/@43.6691769,-79.335585,3a,75y,177.86h,83.39t/data=!3m7!1e1!3m5!1sIffBfGoP2upvNUAI6WMwew!2e0!5s20070901T000000!7i3328!8i1664?entry=ttu",,,,,,,,,,0.76544294624653,21,pre_month,,,,2007-09,,,,,,,,,,,,,,,,,,,"MULTILINESTRING ((-79.33281 43.66267, -79.33295 43.66299, -79.33359 43.6645, -79.33381 43.66501, -79.33382 43.66503, -79.33417 43.66586, -79.33432 43.66617, -79.33453 43.66674, -79.33502 43.6679, -79.33532 43.66855, -79.33543 43.66882, -79.33545 43.66886, -79.33561 43.66925))"
"397",Grace St,Bloor St W,Harbord St,2001,2007,6,Bike Lane,PL,Collector,Collector,pre Sep 2007,"Sep 2007 SV: https://www.google.com/maps/@43.6632345,-79.418739,3a,46.5y,166.67h,87.28t/data=!3m7!1e1!3m5!1sEGwCsmb4g6XpbI5ieRAdhg!2e0!5s20070901T000000!7i3328!8i1664?entry=ttu",,,,,,,,,,0.408335140679427,21,pre_month,,,,2007-09,,,,,,,,,,,,,,,,,,,"MULTILINESTRING ((-79.41751 43.65993, -79.41825 43.66192, -79.41871 43.66308, -79.41872 43.66309, -79.41887 43.66347))"
"398",Russell Hill Rd,St Clair Ave W,Boulton Dr,2001,2007,6,Bike Lane,PL,Collector,Collector,pre-2007,"SV Sep 2007: https://www.google.com/maps/@43.6814679,-79.4057042,3a,90y,124.42h,78.54t/data=!3m7!1e1!3m5!1slMbBQ3zqUcpqh8pvMxRHYw!2e0!5s20070901T000000!7i3328!8i1664?entry=ttu",,,,,,,,,,0.706809239192254,15,pre_year,,,,"2007",,,,,,,,,,,,,,,,,,,"MULTILINESTRING ((-79.40305 43.68089, -79.40312 43.68097, -79.40316 43.681, -79.40323 43.68105, -79.40331 43.6811, -79.40339 43.68114, -79.40348 43.68119, -79.40357 43.68123, -79.40367 43.68126, -79.40374 43.68127, -79.40385 43.68129, -79.404 43.68131, -79.40542 43.68145, -79.4055 43.68146, -79.40562 43.68148, -79.40574 43.6815, -79.40587 43.68154, -79.40597 43.68159, -79.40606 43.68163, -79.40614 43.68169, -79.4062 43.68173, -79.40622 43.68174, -79.40629 43.68179, -79.40636 43.68186, -79.40644 43.68194, -79.4065 43.68202, -79.40656 43.6821, -79.4066 43.68219, -79.40665 43.68229, -79.40672 43.68248, -79.40672 43.68248, -79.4079 43.68535))"
