id,street,street_from,street_to,install_year,install_type,verify_install_year,verify_install_date,verify_install_type,verify_install_comment,clean_install_date_start,clean_install_date_end,clean_install_semester,clean_install_date_raw_count,clean_install_date_type,clean_install_date,clean_install_date_prepost,clean_install_date_notes,geometry_wkb
"807",Shaw St,8.3 M N C P R,Dupont St,2013,Bike Lane,2013,,PL,"PL installed, ORIG 2013, NO UPGR, SV: https://www.google.com/maps/@43.6710095,-79.4267296,3a,31.4y,194.21h,87.07t/data=!3m7!1e1!3m5!1sBNRTL7UavKeu6xsUCcMamw!2e0!5s20140801T000000!7i13312!8i6656?entry=ttu",,,,,,,,,"MULTILINESTRING ((-79.42661 43.6706, -79.42693 43.67134, -79.42694 43.67142, -79.42698 43.67152))"
"826",Lansdowne Ave,College St,Dundas St W,2016,Bike Lane,2016,,PL,"Install PL 2016: https://www.google.com/maps/@43.6508309,-79.439925,3a,15y,185.1h,85.01t/data=!3m7!1e1!3m5!1sQ3AvjwNL4M43bV-xjevObA!2e0!5s20170701T000000!7i13312!8i6656?entry=ttu",,,,,,,,,"MULTILINESTRING ((-79.44 43.65101, -79.43991 43.65072, -79.43973 43.65017))"
"833",St Clair Ave E,Avoca Ave,Inglewood Dr,2005,Bike Lane,2017,,PL,"PL added signage 2017: https://www.google.com/maps/@43.6889862,-79.3897517,3a,75y,67.12h,86.38t/data=!3m7!1e1!3m5!1sKLMwxQ4cZPP--kv9bs2Fqw!2e0!5s20181001T000000!7i16384!8i8192?entry=ttu",,,,,,,,,"MULTILINESTRING ((-79.38989 43.68899, -79.38969 43.68903, -79.38785 43.68943, -79.38735 43.68953))"
"838",St Dennis Dr,Don Mills Rd,Linkwood Lane,2017,Bike Lane,2017,Mar - Jun 2017,PL,"Sep 2017 SV: https://www.google.com/maps/@43.7165026,-79.3372768,3a,15.5y,71.48h,88.23t/data=!3m7!1e1!3m5!1sr7B7q4DlPc9PiSixypcKaA!2e0!5s20170901T000000!7i13312!8i6656?entry=ttu",2017/03/01,2017-06-30,,2,range,,,,"MULTILINESTRING ((-79.33732 43.71655, -79.33646 43.71675, -79.33534 43.71701, -79.33487 43.71714, -79.33465 43.71726, -79.33455 43.71733, -79.33445 43.71746, -79.33442 43.7175, -79.33436 43.71757, -79.33427 43.71764, -79.33422 43.71766, -79.33415 43.7177, -79.3339 43.71777, -79.33357 43.71785, -79.33322 43.71793, -79.33282 43.71803, -79.33247 43.71811, -79.3321 43.7182, -79.33178 43.71827, -79.33141 43.71836, -79.33042 43.71859, -79.32966 43.71877, -79.32918 43.71888, -79.32884 43.71896, -79.32853 43.71903, -79.32829 43.71909, -79.32813 43.71914, -79.32797 43.71923, -79.32787 43.7193, -79.32782 43.71934, -79.32778 43.71938))"
"840",Sheppard Ave W,Don River Blvd,62.9 M E Don River W Branch,2017,Bike Lane,2017,,PL,"PL inst 2017 ORIG year, Markers added to road, no upgr, SV: https://www.google.com/maps/@43.7575877,-79.4283211,3a,15y,250.03h,85.79t/data=!3m7!1e1!3m5!1srnaHCvK-hjtqB7UU2iJ1ZA!2e0!5s20171001T000000!7i13312!8i6656?entry=ttu",,,,,,,,,"MULTILINESTRING ((-79.43283 43.75663, -79.43086 43.75707, -79.43041 43.75719, -79.43002 43.75728, -79.42928 43.75745))"
"865",Lansdowne Ave,42.5 M S Dupont St,Lappin Ave,2016,Bike Lane,2016,,PL,"Install PL 2016: https://www.google.com/maps/@43.6655465,-79.4459808,3a,29.2y,159.5h,84.39t/data=!3m7!1e1!3m5!1sHmY2otld-_oZzuVbIcPqHw!2e0!5s20170701T000000!7i13312!8i6656?entry=ttu",,,,,,,,,"MULTILINESTRING ((-79.44632 43.66636, -79.44631 43.66635, -79.44587 43.66524, -79.44574 43.6649))"
"866",Peter St,Queen St W,King St W,2016,Cycle Track,2016,Oct-Nov 2016,PBL,"PBL (minus intersections) Sv nov 2016 with PBL: https://www.google.ca/maps/@43.6492066,-79.3935602,3a,75y,161.04h,65.72t/data=!3m7!1e1!3m5!1s2sNTbV8zi25a64UdlxBYSg!2e0!5s20161101T000000!7i13312!8i6656?entry=ttu",2016/10/01,2016-11-30,,12,range,,,,"MULTILINESTRING ((-79.3937 43.64935, -79.3935 43.64892, -79.39328 43.64839, -79.39286 43.64732, -79.39252 43.64651, -79.39233 43.64605))"
"869",Simcoe St,Wellington St,82.7 M N Front St,2014,Cycle Track,2014,April-Sept 2014,PBL,"PBL installed one side, sept 2014: https://www.google.com/maps/@43.6459648,-79.385519,3a,75y,201.87h,76.26t/data=!3m7!1e1!3m5!1sSNvR8kWP5NEivK_H9Hp6_w!2e0!5s20140901T000000!7i13312!8i6656?entry=ttu",2014/04/01,2014-09-30,,5,range,,,,"MULTILINESTRING ((-79.38532 43.64549, -79.38556 43.64605))"
"870",Kingston Rd,Wood Glen Rd,35 M W Haig Ave,2014,Bike Lane,2014,Jun - Dec 2014,PL,"Aug 2015 SV: https://www.google.com/maps/@43.6842012,-79.2759904,3a,75y,51.68h,84.8t/data=!3m7!1e1!3m5!1sQwr6zECf3Q7Hi6hN4t2QMw!2e0!5s20150801T000000!7i13312!8i6656?entry=ttu",2014/07/01,2014-12-31,,1,range,,,,"MULTILINESTRING ((-79.2761 43.6842, -79.27528 43.68478, -79.27503 43.68495, -79.27439 43.6854, -79.27361 43.68594, -79.2728 43.6865, -79.2725 43.68669, -79.27201 43.68702))"
"885",Brock Ave,Florence St,Seaforth Ave,2014,Bike Lane,2014,Jan - Aug 2014,PL,"Based on City provided Inst year, overiding of verified 2013 early window bracket into 2014; Aug 2014 SV: https://www.google.com/maps/@43.6454879,-79.433871,3a,75y,158.41h,72.14t/data=!3m7!1e1!3m5!1s6hkKJ9F0Cv-cHLWDucXdvQ!2e0!5s20140801T000000!7i13312!8i",2014/01/01,2014-08-31,,1,range,,,,"MULTILINESTRING ((-79.43322 43.6437, -79.43355 43.64457, -79.43366 43.64488, -79.43392 43.64549))"
"888",Queen's Park Cres,Hoskin Ave,Wellesley St W,2014,Bi-Directional Cycle Track,2014,Fall 2014,PBL,"PBL installed Fall 2014, seen nearly complete in Sept 2014: https://www.google.com/maps/@43.6639598,-79.3934992,3a,75y,36.66h,77.59t/data=!3m7!1e1!3m5!1swp8Jyi26q4b1QU3m0bjReQ!2e0!5s20140901T000000!7i13312!8i6656?entry=ttu",2014/09/01,2014-12-31,,6,semester,,,,"MULTILINESTRING ((-79.3927 43.66316, -79.39359 43.66408, -79.39386 43.66481, -79.39387 43.66483, -79.39387 43.66485, -79.39388 43.66487, -79.39388 43.6649, -79.39389 43.66492, -79.39389 43.66495, -79.39389 43.66497, -79.3939 43.66499, -79.3939 43.66501, -79.3939 43.66502))"
"892",Ranee Ave,3 M W Flemington Rd,Varna Dr,2014,Bike Lane,2014,,PL,"PL installed 2014: https://www.google.com/maps/@43.7238755,-79.4460287,3a,75y,11.23h,61.33t/data=!3m7!1e1!3m5!1sydB2Wq2P4QOpJ-0oWVcMcA!2e0!5s20140601T000000!7i13312!8i6656?entry=ttu , no prior infra and no upgrades",,,,,,,,,"MULTILINESTRING ((-79.44869 43.72328, -79.44731 43.72355, -79.44691 43.72366, -79.44567 43.72392))"
"899",Shaughnessy Blvd,Glentworth Rd,Sheppard Ave E,2006,Bike Lane,2012,,PL,"PL installed, 2012 https://www.toronto.ca/legdocs/mmis/2012/ny/bgrd/backgroundfile-44849.pdf https://www.google.com/maps/@43.7745681,-79.3537591,3a,78.1y,172.65h,65.1t/data=!3m7!1e1!3m5!1sZj9RylBIbsL37cOezPf7BQ!2e0!5s20140501T000000!7i13312!8i6656?entry=",,,,,,,,,"MULTILINESTRING ((-79.35332 43.77373, -79.35358 43.77436, -79.35388 43.77506))"
"971",Gateway Blvd,Don Mills Rd,65.1 M E Don Mills Rd,2018,Bike Lane - Buffered,2018,Fall 2018,BUF,"Installed as BUF, not yet completed by October 2018.",2018/09/01,2018-12-31,,4,semester,,,,"MULTILINESTRING ((-79.33558 43.71459, -79.33635 43.7144))"
"978",Grenoble Dr,Deaville Lane,Grenoble Dr,2018,Bike Lane - Buffered,2018,Fall 2018,BUF,"BUF installed around fall 2018: https://www.google.com/maps/@43.715565,-79.3297051,3a,75y,25.86h,59.83t/data=!3m7!1e1!3m5!1sxnedGCWwhEMNCNAeTXAFEw!2e0!5s20180901T000000!7i16384!8i8192?entry=ttu",2018/09/01,2018-12-31,,4,semester,,,,"MULTILINESTRING ((-79.33038 43.71658, -79.32965 43.71531, -79.3296 43.7153, -79.32954 43.7153, -79.32949 43.71531, -79.32941 43.71532, -79.3293 43.71533, -79.32919 43.71535, -79.32905 43.71538, -79.32895 43.71541, -79.32809 43.71561))"
"1132",Scarlett Rd,Bernice Cres,100m S of Edenbridge Dr,2019,Cycle Track,2019,,BUF,"No previous infrastructure, major road resurfacing project with simultaneous installation of cycle tracks: https://www.toronto.ca/wp-content/uploads/2019/06/910d-Scarlett-Road-Consultation-Report.pdf ; https://www.toronto.ca/services-payments/streets-par",,,,,,,,,"MULTILINESTRING ((-79.49955 43.66691, -79.49961 43.66702, -79.49967 43.66711, -79.49986 43.66732, -79.50046 43.668, -79.5009 43.6685, -79.50132 43.66898, -79.50165 43.66937, -79.50225 43.67009, -79.50288 43.6708, -79.5034 43.67141, -79.50366 43.67172, -79.50375 43.67182, -79.50385 43.67194, -79.50391 43.67204, -79.50396 43.67218, -79.50401 43.67233, -79.5042 43.67298, -79.50427 43.67311, -79.50465 43.67385, -79.50489 43.67426, -79.50501 43.67444, -79.50512 43.67457, -79.50535 43.67484, -79.50583 43.67538, -79.50588 43.67546, -79.50593 43.67555, -79.50596 43.67562, -79.50597 43.67569, -79.50594 43.6761, -79.50593 43.67625, -79.50592 43.67639, -79.50593 43.67649, -79.50595 43.67657, -79.50604 43.67684, -79.50623 43.67719, -79.50641 43.67748, -79.50645 43.67754, -79.50652 43.67763, -79.50658 43.67772, -79.50663 43.6778, -79.50669 43.6779, -79.50673 43.67797, -79.50677 43.67804, -79.50687 43.67815, -79.50744 43.67891, -79.50822 43.67994))"
"1142",Havelock St,Sylvan Ave,Lindsey Ave,2014,Bike Lane - Contraflow,2014,"41852",PL,"Aug 2014 SV: https://www.google.com/maps/@43.6542854,-79.4299553,3a,75y,348.26h,81.22t/data=!3m7!1e1!3m5!1sr9K5rb8q0K7YcByvRwAFPA!2e0!5s20140801T000000!7i13312!8i6656?entry=ttu",,,,1,,,,Likely not a date,"MULTILINESTRING ((-79.42993 43.65422, -79.43036 43.65529))"
"1154",Stephanie St,Beverly St,John St,2014,Bike Lane - Contraflow,2014,April-Sept 2014,PL,"PL contraflow installed, between April and Sept 2014, no upgr, SV: https://www.google.com/maps/@43.6511225,-79.3919428,3a,75y,274.12h,61.54t/data=!3m7!1e1!3m5!1sM-hKTHnKU2PaZO3SFtu60g!2e0!5s20140901T000000!7i13312!8i6656?entry=ttu",2014/04/01,2014-09-30,,5,range,,,,"MULTILINESTRING ((-79.39162 43.6512, -79.39215 43.65111, -79.39271 43.651))"
"1155",Bellevue Ave,College St,Wales Ave,2017,Bike Lane - Contraflow,2017,Sep - Dec 2017,PL,"Feb 2018 streetview  signs of recent installation: https://www.google.com/maps/@43.654966,-79.403615,3a,75y,328.81h,74.51t/data=!3m7!1e1!3m5!1ssylpss7oFkD-tvxK6O4Smg!2e0!5s20180201T000000!7i16384!8i8192?entry=ttu",2017/09/01,2017-12-31,,1,range,,,,"MULTILINESTRING ((-79.40291 43.65309, -79.40311 43.65361, -79.40368 43.65496, -79.40402 43.65583, -79.40453 43.65712))"
"1163",Simcoe St,King St W,Wellington St,2014,Cycle Track - Contraflow,2014,Apr-Sep 2014,PBL,"No prior infrastructure, no further upgrades.",2014/04/01,2014-09-30,,3,range,,,,"MULTILINESTRING ((-79.38556 43.64605, -79.38611 43.6474))"
"1164",Simcoe St,Richmond St W,King St W,2014,Cycle Track - Contraflow,2014,April-Sept 2014,PBL,"PBL installed 2014: https://www.google.com/maps/@43.6488798,-79.3866851,3a,75y,12.68h,68.21t/data=!3m7!1e1!3m5!1sdUoRb6l9rOuRWpV9HH813Q!2e0!5s20140901T000000!7i13312!8i6656?entry=ttu. Changes occurred but no change in type.",2014/04/01,2014-09-30,,5,range,,,,"MULTILINESTRING ((-79.38611 43.6474, -79.38637 43.64801, -79.38662 43.64864, -79.38688 43.64925, -79.38714 43.64991))"
"1165",Simcoe St,Queen St W,Richmond St W,2014,Cycle Track - Contraflow,2014,April-Sept 2014,PBL,"PBL installed 2014: https://www.google.com/maps/@43.6501417,-79.3872403,3a,75y,19.52h,76.61t/data=!3m7!1e1!3m5!1siqbSthY4CXuqBS0HSxxUHg!2e0!5s20140901T000000!7i13312!8i6656?entry=ttu. Changes occurred but no change in type.",2014/04/01,2014-09-30,,5,range,,,,"MULTILINESTRING ((-79.38714 43.64991, -79.38729 43.65026, -79.38743 43.65059, -79.38752 43.65067))"
"1174",Willowdale Ave,Bishop Ave,Empress Ave,2020,Cycle Track,2020,Oct-Dec 2020,PBL,"No prior infrastructure before PBL 2020; Incomplete installation SV Oct 2020: https://www.google.com/maps/@43.7741168,-79.4039935,3a,75y,343.68h,91.21t/data=!3m7!1e1!3m5!1swe5C2JjeXqG2odsJlgkWkQ!2e0!5s20201001T000000!7i16384!8i8192?entry=ttu, https://www",2020/10/01,2020-12-31,,1,range,,,,"MULTILINESTRING ((-79.40284 43.77149, -79.40319 43.77231, -79.40356 43.77315, -79.40394 43.77409, -79.40433 43.775, -79.40468 43.77583, -79.40583 43.77854, -79.40626 43.77955, -79.40668 43.78058, -79.40711 43.78163, -79.40747 43.7825, -79.40787 43.78344))"
"1188",Huntingwood Dr,Brimley Rd,Commander Blvd,2006,Cycle Track,2013,2012-2014,PL,"Installed sometime between 2012 and 2014: https://www.google.com/maps/@43.7984302,-79.2734226,3a,34.5y,79.12h,87.84t/data=!3m7!1e1!3m5!1s98PiZEWKFDaM2EQApXxkqw!2e0!5s20141001T000000!7i13312!8i6656?entry=ttu",2012/01/01,2014-12-31,,2,range,,,,"MULTILINESTRING ((-79.27337 43.79841, -79.27262 43.79859, -79.27253 43.79859, -79.27242 43.79862, -79.27229 43.79863, -79.27216 43.79864, -79.27206 43.79864, -79.27193 43.79863, -79.27181 43.79863, -79.27171 43.79862, -79.27159 43.79859, -79.27086 43.79842, -79.27057 43.79836, -79.26961 43.7981))"
"1192",Huntingwood Dr,Ridgecrest Dr,Brimley Rd,2020,Cycle Track,2020,,BUF,Buffered lane installed 2020,,,,,,,,,"MULTILINESTRING ((-79.31521 43.78449, -79.31444 43.78467, -79.31241 43.78515, -79.31095 43.78548, -79.30922 43.7859, -79.30843 43.78627, -79.30801 43.78699, -79.30789 43.78779, -79.3077 43.78843, -79.30725 43.78904, -79.30672 43.78933, -79.30558 43.78968, -79.30378 43.79009, -79.3023 43.79044, -79.30054 43.79083, -79.29938 43.79111, -79.29811 43.79151, -79.29749 43.79218, -79.29659 43.79362, -79.29604 43.79427, -79.29556 43.79458, -79.29477 43.79482, -79.29345 43.79515, -79.29199 43.7952, -79.29065 43.79547, -79.28857 43.79607, -79.28638 43.79654, -79.28344 43.79706, -79.28166 43.79741, -79.27882 43.79801, -79.27774 43.79813, -79.2756 43.79816, -79.27444 43.79818, -79.27337 43.79841))"
"1198",Richmond St E,Yonge St,Parliament St,2015,Cycle Track,2015,Sep - Nov 2015,PBL,"SV MAY 2016: https://www.google.com/maps/@43.6526887,-79.3744512,3a,75y,279.91h,72.28t/data=!3m7!1e1!3m5!1sFqZzFHofSqdisu5rV7pdsg!2e0!5s20160501T000000!7i13312!8i6656?entry=ttu",2015/09/01,2015-11-30,,2,range,,,,"MULTILINESTRING ((-79.37898 43.65169, -79.3782 43.65187, -79.37776 43.65196, -79.37663 43.6522, -79.37637 43.65226, -79.37548 43.65247, -79.3737 43.65286, -79.37334 43.65281, -79.37304 43.65276, -79.37297 43.65274, -79.37291 43.65273, -79.37283 43.6527, -79.37271 43.65267, -79.37262 43.65266, -79.37247 43.65266, -79.37237 43.65266, -79.37225 43.65268, -79.37161 43.65282, -79.37114 43.65292, -79.36964 43.65327, -79.36915 43.65338, -79.36861 43.6535, -79.36854 43.65351, -79.36845 43.65353, -79.36801 43.65363, -79.36673 43.65393, -79.36531 43.65426, -79.3645 43.65445, -79.36437 43.65448, -79.36402 43.65456))"
"1200",Richmond St W,Brant St,York St,2014,Cycle Track,2014,Apr-Sep 2014,BUF,BUF installed except at intersections,2014/04/01,2014-09-30,,3,range,,,,"MULTILINESTRING ((-79.38465 43.65044, -79.38612 43.65012, -79.38644 43.65006, -79.38714 43.64991, -79.3877 43.64978, -79.38918 43.64946, -79.3908 43.64913, -79.39209 43.64885, -79.39233 43.6488, -79.39248 43.64875, -79.39328 43.64839, -79.39457 43.64811, -79.39522 43.64796, -79.39542 43.64792, -79.39597 43.64781, -79.39658 43.64787, -79.39665 43.64787, -79.39669 43.64786, -79.39674 43.64786, -79.39787 43.64765, -79.39866 43.64747))"
"1211",Huntingwood Dr,Victoria Park Ave,Kilkenny Dr,2020,Cycle Track,2020,,BUF,"BUF installed: https://www.google.com/maps/@43.7815008,-79.3207919,3a,75y,256.05h,77.31t/data=!3m8!1e1!3m6!1skAq1497t6VAOvHy7qW7Cpw!2e0!5s20210501T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DkAq1497t6VAOvHy7qW7Cpw%",,,,,,,,,"MULTILINESTRING ((-79.3254 43.78035, -79.324 43.7807, -79.32283 43.781, -79.32144 43.78135, -79.32016 43.78168, -79.31925 43.78197, -79.3186 43.78242, -79.3182 43.78276, -79.31731 43.78349, -79.31729 43.7835))"
"1212",Huntingwood Dr,Kilkenny Dr,Ridgecrest Dr,2020,Cycle Track,2020,,PBL,"PBL installed 2020: https://www.google.com/maps/@43.7842992,-79.3159495,3a,75y,224.45h,83.14t/data=!3m7!1e1!3m5!1s72DR06W0edTdnapBkQ_vLg!2e0!5s20201201T000000!7i16384!8i8192?entry=ttu",,,,,,,,,"MULTILINESTRING ((-79.31729 43.7835, -79.31615 43.78418, -79.31545 43.78443, -79.31521 43.78449))"
"1221",Argyle St,Givins St,Shaw St,2015,Bike Lane - Contraflow,2015,,None,"* inconclusive date because infrastructure type is None (sharrows), sharrows, installed 2015.",,,,,,,,,"MULTILINESTRING ((-79.41732 43.64744, -79.41793 43.64733, -79.41856 43.6472))"
"1223",Huntingwood Dr,Commander Blvd,McCowan Rd,2020,Cycle Track,2013,2012-2014,PL,"City miscat, actually a PL: https://www.google.com/maps/@43.7984205,-79.2638693,3a,75y,283.96h,90t/data=!3m7!1e1!3m5!1szEVanA-5HNfPpm1rCEAI2g!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DzEVanA-5HNfPpm1rCEAI2g%26cb_cli",2012/01/01,2014-12-31,,2,range,,,,"MULTILINESTRING ((-79.26262 43.79866, -79.26318 43.79854, -79.26437 43.79828, -79.26463 43.79823, -79.2648 43.79819, -79.26494 43.79817, -79.26536 43.79813, -79.26568 43.7981, -79.26775 43.79786, -79.26794 43.79784, -79.26802 43.79783, -79.26808 43.79783, -79.26817 43.79783, -79.26828 43.79784, -79.26843 43.79786, -79.26891 43.79795, -79.26908 43.79798, -79.26961 43.7981))"
