id,city,_pivot_event,_time_semester,street,road_type,road_type_recode,install_year,install_type,verify_install_year,verify_install_type,verify_install_comment,verify_upgrade1_year,verify_upgrade1_type,verify_upgrade1_comment,verify_upgrade2_year,verify_upgrade2_type,verify_upgrade2_comment,verify_misclass,no_verify_install_type,geometry_len_km,_pivot_column,_pivot_value,_pivot_year,_pivot_type,verify_date_raw_count,verify_date_type,verify_date,verify_date_start,verify_date_end,verify_date_prepost,verify_date_notes,_time_month,_time_quarter,_time_third,_time_half,_time_year,_time_month_group,_time_quarter_group,_time_third_group,_time_half_group,_time_semester_group,_time_year_group,geometry_wkb
"294821",vancouver,install,,E 45th Ave,Residential,Local,2013,Local Street,2013,LSB,,,,,,,,,Local Street,0.0699832761829772,verify_install_date,,2013,LSB,,,,,,,,,,,,2013,,,,,,"2013","LINESTRING (-123.0985 49.22931, -123.0995 49.22933)"
"294826",vancouver,install,,E 46th Ave,Residential,Local,2013,Local Street,2013,LSB,,,,,,,,,Local Street,0.111558310133258,verify_install_date,,2013,LSB,,,,,,,,,,,,2013,,,,,,"2013","LINESTRING (-123.0501 49.22845, -123.0517 49.22846)"
"294920",vancouver,install,,MacDonald,Residential,Local,2013,Local Street,2013,LSB,,,,,,,,,Local Street,0.0529328326119095,verify_install_date,,2013,LSB,,,,,,,,,,,,2013,,,,,,"2013","LINESTRING (-123.1679 49.24515, -123.1679 49.24515, -123.1679 49.24562, -123.1679 49.24563)"
"294921",vancouver,install,,MacDonald,Residential,Local,2013,Local Street,2013,LSB,,,,,,,,,Local Street,0.0527823577228569,verify_install_date,,2013,LSB,,,,,,,,,,,,2013,,,,,,"2013","LINESTRING (-123.1679 49.24563, -123.1679 49.24563, -123.1679 49.2461)"
"294930",vancouver,install,,W 68th Ave,Residential,Local,2017,Local Street,2017,LSB,,,,,,,,,Local Street,0.0675244669904664,verify_install_date,,2017,LSB,,,,,,,,,,,,2017,,,,,,"2017","LINESTRING (-123.1411 49.21052, -123.142 49.21054)"
"294934",vancouver,install,,W 14th Ave,Residential,Local,2017,Local Street,2017,LSB,,,,,,,,,Local Street,0.104026404242853,verify_install_date,,2017,LSB,,,,,,,,,,,,2017,,,,,,"2017","LINESTRING (-123.1162 49.25875, -123.1177 49.25878)"
"294953",vancouver,upgrade1,,Burrard,Arterial,Arterial,2006,Painted Lanes,2006,PL,"PL Seen Apr 2009: https://www.google.com/maps/@49.2785996,-123.1300212,3a,75y,44.55h,76.55t/data=!3m7!1e1!3m5!1sRpIMOuxiyx3x-U5VRK7TXA!2e0!5s20090401T000000!7i13312!8i6656?entry=ttu",2018,PL,"Minor changes in 2018, same infrastructure type: https://www.google.com/maps/@49.2785991,-123.130019,3a,22.1y,73.26h,84.74t/data=!3m7!1e1!3m5!1s6SL2jMExf_gdEGnRN62uKQ!2e0!5s20210301T000000!7i16384!8i8192",,,,,,0.05492653438848,verify_upgrade1_date,,2018,PL,,,,,,,,,,,,2018,,,,,,"2018","LINESTRING (-123.1297 49.27873, -123.1302 49.27838)"
"294955",vancouver,install,,Hawks,Residential,Local,2015,Local Street,2015,LSB,,,,,,,,,Local Street,0.0165221541915746,verify_install_date,,2015,LSB,,,,,,,,,,,,2015,,,,,,"2015","LINESTRING (-123.0871 49.28356, -123.0871 49.28341)"
"294959",vancouver,install,,E 14th Ave,Residential,Local,2018,Local Street,2018,LSB,,,,,,,,,Local Street,0.0986026734594433,verify_install_date,,2018,LSB,,,,,,,,,,,,2018,,,,,,"2018","LINESTRING (-123.1045 49.25845, -123.1032 49.25843)"
"294960",vancouver,install,,E 14th Ave,Residential,Local,2018,Local Street,2018,LSB,,,,,,,,,Local Street,0.041990208331246,verify_install_date,,2018,LSB,,,,,,,,,,,,2018,,,,,,"2018","LINESTRING (-123.1051 49.25846, -123.1051 49.25846, -123.1045 49.25845)"
"294961",vancouver,install,,E 14th Ave,Residential,Local,2018,Local Street,2018,LSB,,,,,,,,,Local Street,0.0481973943747466,verify_install_date,,2018,LSB,,,,,,,,,,,,2018,,,,,,"2018","LINESTRING (-123.1024 49.25842, -123.1018 49.2584)"
"294964",vancouver,install,,Prince Edward,Residential,Local,2019,Local Street,2019,LSB,,,,,,,,,Local Street,0.0980890527346473,verify_install_date,,2019,LSB,,,,,,,,,,,,2019,,,,,,"2019","LINESTRING (-123.0969 49.24566, -123.0969 49.24477)"
"294965",vancouver,install,,Prince Edward,Residential,Local,2019,Local Street,2019,LSB,,,,,,,,,Local Street,0.0502210333419282,verify_install_date,,2019,LSB,,,,,,,,,,,,2019,,,,,,"2019","LINESTRING (-123.0967 49.25156, -123.0967 49.25111)"
"294966",vancouver,install,,Prince Edward,Residential,Local,2019,Local Street,2019,LSB,,,,,,,,,Local Street,0.0497996938427863,verify_install_date,,2019,LSB,,,,,,,,,,,,2019,,,,,,"2019","LINESTRING (-123.0966 49.25292, -123.0966 49.25247)"
"294976",vancouver,upgrade1,,NW Marine Dr,Sec Arterial,Collector,1990,Painted Lanes,1990,None,"This install shows no bikeways, shared road, section near lake has lanes, but it is likely used for car parking (e.g., https://www.google.com/maps/@49.273779,-123.2057008,3a,41.2y,6.48h,82.36t/data=!3m7!1e1!3m5!1ssPPKgRYsQhLazBzLlk0RSg!2e0!5s20070901T000",2017,PL,"PL both sides, installed 2017 (sat data suggests between Sept and December 2017): https://www.google.com/maps/@49.272387,-123.2043683,3a,75y,116.11h,75.9t/data=!3m7!1e1!3m5!1ssDtL7iedxUMK3bGqCjFneQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv",,,,,,0.335087031405976,verify_upgrade1_date,Sept-Dec 2017,2017,PL,6,semester,,2017/09/01,2017-12-31,,,,,3,2,2017,,,2017_3,2017_2,,"2017","LINESTRING (-123.2014 49.26889, -123.2018 49.26906, -123.202 49.26916, -123.2021 49.26929, -123.2021 49.26929, -123.2022 49.26939, -123.2023 49.26951, -123.2023 49.26961, -123.2023 49.26973, -123.2023 49.26986, -123.2023 49.27, -123.2023 49.27, -123.2023 49.27, -123.2023 49.27006, -123.2023 49.27006, -123.2023 49.27006, -123.2023 49.27015, -123.2023 49.27036, -123.2022 49.27053, -123.2022 49.27068, -123.2022 49.27081, -123.2022 49.2709, -123.2022 49.27102, -123.2023 49.27111, -123.2023 49.27123, -123.2023 49.27123, -123.2024 49.27127, -123.2024 49.27133, -123.2025 49.27137, -123.2025 49.27142, -123.2026 49.27148, -123.2026 49.27148, -123.2026 49.27148, -123.2026 49.27151, -123.2027 49.27154, -123.2027 49.27157)"
"294991",vancouver,install,,York Ave,Residential,Local,2014,Local Street,2014,LSB,,,,,,,,,Local Street,0.0384970177705845,verify_install_date,,2014,LSB,,,,,,,,,,,,2014,,,,,,"2014","LINESTRING (-123.1657 49.2719, -123.1657 49.2719, -123.1662 49.27191)"
"294994",vancouver,install,,Duchess,Residential,Local,2020,Local Street,2020,LSB,,,,,,,,,Local Street,0.0571662884551207,verify_install_date,,2020,LSB,,,,,,,,,,,,2020,,,,,,"2020","LINESTRING (-123.0489 49.24248, -123.0493 49.24205)"
"294997",vancouver,install,,Wales,Residential,Local,2020,Local Street,2020,LSB,,,,,,,,,Local Street,0.0397599613548049,verify_install_date,,2020,LSB,,,,,,,,,,,,2020,,,,,,"2020","LINESTRING (-123.0516 49.23028, -123.0516 49.22993)"
"295000",vancouver,install,,Duchess,Residential,Local,2020,Local Street,2020,LSB,,,,,,,,,Local Street,0.0132186049992013,verify_install_date,,2020,LSB,,,,,,,,,,,,2020,,,,,,"2020","LINESTRING (-123.0521 49.23976, -123.0522 49.23966)"
"295001",vancouver,install,,Duchess,Residential,Local,2020,Local Street,2020,LSB,,,,,,,,,Local Street,0.0430521093284992,verify_install_date,,2020,LSB,,,,,,,,,,,,2020,,,,,,"2020","LINESTRING (-123.0522 49.23966, -123.0526 49.23933)"
"295057",vancouver,install,,Wales,Residential,Local,2020,Local Street,2020,LSB,,,,,,,,,Local Street,0.0104782252393975,verify_install_date,,2020,LSB,,,,,,,,,,,,2020,,,,,,"2020","LINESTRING (-123.0518 49.23897, -123.0518 49.23887)"
"295075",vancouver,upgrade1,,Pacific St,Arterial,Arterial,2003,Protected Bike Lanes,2009,PL,"PL, 1 way, only on south side, likely installed in 2010: https://www.google.com/maps/@49.275566,-123.1304553,3a,75y,119.95h,60.41t/data=!3m7!1e1!3m5!1scePNZmehmmfH-SoOZRqJ8g!2e0!5s20110801T000000!7i13312!8i6656. No infra seen April 2009: https://www.goog",2020,PBL,"PBL only on one side of road, south side: https://www.google.com/maps/@49.2748372,-123.1289873,3a,90y,162.08h,82.39t/data=!3m6!1e1!3m4!1sWo8kb0nQypD1Dr0iq2OXhA!2e0!7i16384!8i8193, completed around 2020: https://www.google.com/maps/@49.2749591,-123.129202",,,,,,0.0286464506892296,verify_upgrade1_date,,2020,PBL,,,,,,,,,,,,2020,,,,,,"2020","LINESTRING (-123.1299 49.27535, -123.1299 49.27536, -123.1301 49.27549, -123.1302 49.27554)"
"295173",vancouver,install,,Discovery,Residential,Local,2013,Local Street,2013,LSB,,,,,,,,,Local Street,0.0502794304032345,verify_install_date,,2013,LSB,,,,,,,,,,,,2013,,,,,,"2013","LINESTRING (-123.2031 49.261, -123.2031 49.26055)"
"295181",vancouver,install,,W 18th Ave,Residential,Local,2013,Local Street,2013,LSB,,,,,,,,,Local Street,0.109521060157735,verify_install_date,,2013,LSB,,,,,,,,,,,,2013,,,,,,"2013","LINESTRING (-123.1951 49.25652, -123.1936 49.25652)"
"295183",vancouver,install,,W 18th Ave,Residential,Local,2013,Local Street,2013,LSB,,,,,,,,,Local Street,0.0632839022375666,verify_install_date,,2013,LSB,,,,,,,,,,,,2013,,,,,,"2013","LINESTRING (-123.181 49.25647, -123.1801 49.25646)"
"295193",vancouver,install,,York Ave,Residential,Local,2014,Local Street,2014,LSB,,,,,,,,,Local Street,0.0992999489437487,verify_install_date,,2014,LSB,,,,,,,,,,,,2014,,,,,,"2014","LINESTRING (-123.1621 49.27181, -123.1607 49.27179)"
"295228",vancouver,install,,Alexander,Residential,Local,2018,Local Street,2018,LSB,,,,,,,,,Local Street,0.159342549964061,verify_install_date,,2018,LSB,,,,,,,,,,,,2018,,,,,,"2018","LINESTRING (-123.1043 49.2835, -123.1039 49.28343, -123.1039 49.28345, -123.1022 49.28377)"
"295240",vancouver,install,,W 18th Ave,Residential,Local,2013,Local Street,2013,LSB,,,,,,,,,Local Street,0.0825482164422493,verify_install_date,,2013,LSB,,,,,,,,,,,,2013,,,,,,"2013","LINESTRING (-123.188 49.25649, -123.1869 49.25649)"
"295315",vancouver,install,,E 47th Ave,Residential,Local,2013,Local Street,2013,LSB,,,,,,,,,Local Street,0.0501310086704701,verify_install_date,,2013,LSB,,,,,,,,,,,,2013,,,,,,"2013","LINESTRING (-123.0758 49.22765, -123.076 49.22765, -123.0765 49.22765)"
"295319",vancouver,install,,E 47th Ave,Residential,Local,2013,Local Street,2013,LSB,,,,,,,,,Local Street,0.05613442881107,verify_install_date,,2013,LSB,,,,,,,,,,,,2013,,,,,,"2013","LINESTRING (-123.065 49.22765, -123.065 49.22765, -123.0657 49.22766, -123.0657 49.22761)"
"295399",vancouver,install,,Haro,Residential,Local,2012,Local Street,2012,LSB,,,,,,,,,Local Street,0.247359730271282,verify_install_date,,2012,LSB,,,,,,,,,,,,2012,,,,,,"2012","LINESTRING (-123.1341 49.28921, -123.1349 49.28976, -123.1365 49.29077)"
"295442",vancouver,install,,E 45th Ave,Residential,Local,2013,Local Street,2013,LSB,,,,,,,,,Local Street,0.0310466497739488,verify_install_date,,2013,LSB,,,,,,,,,,,,2013,,,,,,"2013","LINESTRING (-123.0868 49.22911, -123.0872 49.22912)"
"295446",vancouver,install,,E 45th Ave,Residential,Local,2013,Local Street,2013,LSB,,,,,,,,,Local Street,0.0454842481173587,verify_install_date,,2013,LSB,,,,,,,,,,,,2013,,,,,,"2013","LINESTRING (-123.0838 49.22908, -123.0838 49.22908, -123.0844 49.22908)"
"295480",vancouver,install,,Upland Drive,Residential,Local,2012,Local Street,2012,LSB,,,,,,,,,Local Street,0.0203220105414971,verify_install_date,,2012,LSB,,,,,,,,,,,,2012,,,,,,"2012","LINESTRING (-123.07 49.2173, -123.07 49.21731, -123.07 49.21734, -123.0699 49.21737, -123.0699 49.21737, -123.0699 49.2174, -123.0699 49.21742, -123.0698 49.21744)"
"295481",vancouver,install,,Upland Drive,Residential,Local,2012,Local Street,2012,LSB,,,,,,,,,Local Street,0.0844027622903838,verify_install_date,,2012,LSB,,,,,,,,,,,,2012,,,,,,"2012","LINESTRING (-123.0613 49.218, -123.0607 49.21799, -123.0601 49.21798)"
"295486",vancouver,install,,Dumfries,Residential,Local,2013,Local Street,2013,LSB,,,,,,,,,Local Street,0.0203238569238295,verify_install_date,,2013,LSB,,,,,,,,,,,,2013,,,,,,"2013","LINESTRING (-123.0743 49.23244, -123.0743 49.23226)"
"295545",vancouver,install,,Fleming,Residential,Local,2012,Local Street,2012,LSB,,,,,,,,,Local Street,0.0496498797244325,verify_install_date,,2012,LSB,,,,,,,,,,,,2012,,,,,,"2012","LINESTRING (-123.0719 49.25253, -123.072 49.25209)"
"295550",vancouver,install,,Prince Edward,Residential,Local,2012,Local Street,2012,LSB,,,,,,,,,Local Street,0.0227859569691489,verify_install_date,,2012,LSB,,,,,,,,,,,,2012,,,,,,"2012","LINESTRING (-123.0977 49.21984, -123.0977 49.21964)"
"295552",vancouver,install,,Prince Edward,Residential,Local,2012,Local Street,2012,LSB,,,,,,,,,Local Street,0.0527329205997924,verify_install_date,,2012,LSB,,,,,,,,,,,,2012,,,,,,"2012","LINESTRING (-123.0975 49.22511, -123.0975 49.22511, -123.0975 49.22463)"
"295554",vancouver,install,,Prince Edward,Residential,Local,2012,Local Street,2012,LSB,,,,,,,,,Local Street,0.0221606428874593,verify_install_date,,2012,LSB,,,,,,,,,,,,2012,,,,,,"2012","LINESTRING (-123.0973 49.23085, -123.0973 49.23065)"
"295581",vancouver,upgrade1,,Rupert,Sec Arterial,Collector,2009,Painted Lanes,2009,PL,"new paint markers added in 2018, but remains bike lane, no major upgrades since 2018. checked both north and south of E22Ave. https://www.google.com/maps/@49.2508852,-123.0337664,3a,75y,174.47h,65.34t/data=!3m7!1e1!3m5!1sUht4SxAgvLE3f81gxwzX8w!2e0!5s2018",2018,PL,"Added new paint markers in 2018, not major, same design, just new lines: https://www.google.com/maps/@49.2508852,-123.0337664,3a,75y,170.41h,65.05t/data=!3m7!1e1!3m5!1sUht4SxAgvLE3f81gxwzX8w!2e0!5s20180701T000000!7i16384!8i8200",,,,,,0.0994656810876127,verify_upgrade1_date,,2018,PL,,,,,,,,,,,,2018,,,,,,"2018","LINESTRING (-123.0338 49.24626, -123.0338 49.24626, -123.0338 49.24537)"
"295596",vancouver,install,,Comox,Residential,Local,2013,Local Street,2013,LSB,,,,,,,,,Local Street,0.160623811530678,verify_install_date,,2013,LSB,,,,,,,,,,,,2013,,,,,,"2013","LINESTRING (-123.1381 49.28764, -123.1365 49.28663)"
"295598",vancouver,install,,Point Grey Rd,Sec Arterial,Collector,2014,Local Street,2014,LSB,,,,,,,,,Local Street,0.0523421540735043,verify_install_date,,2014,LSB,,,,,,,,,,,,2014,,,,,,"2014","LINESTRING (-123.1789 49.27167, -123.1796 49.27174)"
"295599",vancouver,install,,Point Grey Rd,Sec Arterial,Collector,2014,Local Street,2014,LSB,,,,,,,,,Local Street,0.146348464692446,verify_install_date,,2014,LSB,,,,,,,,,,,,2014,,,,,,"2014","LINESTRING (-123.1796 49.27174, -123.1816 49.27194)"
"295619",vancouver,upgrade1,,W 29th Ave,Sec Arterial,Collector,2006,Painted Lanes,2006,PL,"PL both sides of street: https://www.google.com/maps/@49.2451888,-123.1151559,3a,90y,83.19h,56.71t/data=!3m8!1e1!3m6!1sEoTxVbt8Jj6I6J2X4flnWQ!2e0!5s20201101T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DEoTxVbt8Jj6I6",2013,PL,"Green paint added Fall 2013, seen through google earth",,,,,,0.153513657024411,verify_upgrade1_date,Fall 2013,2013,PL,2,semester,,2013/09/01,2013-12-31,,,,,3,2,2013,,,2013_3,2013_2,,"2013","LINESTRING (-123.1124 49.24512, -123.1124 49.24512, -123.1124 49.24512, -123.1124 49.24513, -123.1125 49.24513, -123.1125 49.24513, -123.1125 49.24513, -123.1125 49.24514, -123.1126 49.24514, -123.1126 49.24514, -123.1127 49.24514, -123.1145 49.24518, -123.1145 49.24518)"
"295629",vancouver,install,,Nanaimo,Residential,Local,2013,Local Street,2013,LSB,,,,,,,,,Local Street,0.0505559387138395,verify_install_date,,2013,LSB,,,,,,,,,,,,2013,,,,,,"2013","LINESTRING (-123.0591 49.22849, -123.059 49.22894, -123.059 49.22894)"
"295630",vancouver,install,,W 18th Ave,Residential,Local,2013,Local Street,2013,LSB,,,,,,,,,Local Street,0.0966214855293409,verify_install_date,,2013,LSB,,,,,,,,,,,,2013,,,,,,"2013","LINESTRING (-123.1845 49.25648, -123.1832 49.25648)"
"295638",vancouver,install,,E 59th Ave,Residential,Local,2013,Local Street,2013,LSB,,,,,,,,,Local Street,0.0265455830193674,verify_install_date,,2013,LSB,,,,,,,,,,,,2013,,,,,,"2013","LINESTRING (-123.1017 49.21675, -123.1013 49.21674)"
"295660",vancouver,upgrade1,,Cambie,Arterial,Arterial,2008,Painted Lanes,2008,None,,2012,PL,"Green paint added in 2012: https://www.google.com/maps/@49.2328532,-123.1161008,3a,75y,2.86h,82.87t/data=!3m7!1e1!3m5!1sEJFDea64vnbIleWbS0Rvwg!2e0!5s20140501T000000!7i13312!8i6656 .",,,,,,0.101573985939719,verify_upgrade1_date,,2012,PL,,,,,,,,,,,,2012,,,,,,"2012","LINESTRING (-123.1161 49.2354, -123.1162 49.23448, -123.1162 49.23448)"
"295661",vancouver,upgrade1,,Cambie,Arterial,Arterial,2008,Painted Lanes,2008,None,,2012,PL,"Green paint added in 2012: https://www.google.com/maps/@49.2328532,-123.1161008,3a,75y,2.86h,82.87t/data=!3m7!1e1!3m5!1sEJFDea64vnbIleWbS0Rvwg!2e0!5s20140501T000000!7i13312!8i6656 .",,,,,,0.0582169651669612,verify_upgrade1_date,,2012,PL,,,,,,,,,,,,2012,,,,,,"2012","LINESTRING (-123.1162 49.23306, -123.1162 49.23254, -123.1162 49.23254)"
"295662",vancouver,upgrade1,,Cambie,Arterial,Arterial,2008,Painted Lanes,2008,PL,"PL seen on northbound side from W45th Ave to W42nd Ave, other sections did not have apparent PL, likely installed later in 2012.",2012,PL,"Green paint added in 2012: https://www.google.com/maps/@49.2328532,-123.1161008,3a,75y,2.86h,82.87t/data=!3m7!1e1!3m5!1sEJFDea64vnbIleWbS0Rvwg!2e0!5s20140501T000000!7i13312!8i6656 .",,,,,,0.052236126010744,verify_upgrade1_date,,2012,PL,,,,,,,,,,,,2012,,,,,,"2012","LINESTRING (-123.1163 49.23074, -123.1163 49.23027)"
"295670",vancouver,install,,W 59th Ave,Residential,Local,2012,Protected Bike Lanes,2012,PBL,"Installed 2012, 2way PBL, https://www.google.com/maps/@49.21693,-123.1177567,3a,75y,53.01h,67.59t/data=!3m7!1e1!3m5!1sbF2PcQbaGppjKxWr3ZtKSg!2e0!5s20140501T000000!7i13312!8i6656 . 532 N Arm Trail Greenway no infra seen Jun 2012 (street view) barrier seen",,,,,,,,,0.0683651348329723,verify_install_date,Jun-Dec 2012,2012,PBL,3,range,,2012/06/01,2012-12-31,,,,,,,2012,,,,,,"2012","LINESTRING (-123.1169 49.21694, -123.1178 49.21695)"
"295683",vancouver,upgrade1,,Richards,Arterial,Arterial,2006,Protected Bike Lanes,2006,PL,"PL one side of road, seen prior to 2009, next upgrade in 2021: https://www.google.com/maps/@49.2826273,-123.1140783,3a,75y,11.7h,66.05t/data=!3m7!1e1!3m5!1svsHS-nd1cbBn--_uiSmnUw!2e0!5s20160501T000000!7i13312!8i6656 .",2021,PBL,Upgraded to PBL2 in fall 2021: https://vancouver.ca/streets-transportation/richards-street-upgrades.aspx,,,,,,0.164505838841075,verify_upgrade1_date,Fall 2021,2021,PBL,46,semester,,2021/09/01,2021-12-31,,,,,3,2,2021,,,2021_3,2021_2,,"2021","LINESTRING (-123.1211 49.27799, -123.1211 49.27799, -123.1226 49.27693)"
"295684",vancouver,upgrade1,,Richards,Arterial,Arterial,2006,Protected Bike Lanes,2006,PL,"PL one side of road, seen prior to 2009, next upgrade in 2021: https://www.google.com/maps/@49.2826273,-123.1140783,3a,75y,11.7h,66.05t/data=!3m7!1e1!3m5!1svsHS-nd1cbBn--_uiSmnUw!2e0!5s20160501T000000!7i13312!8i6656 .",2021,PBL,Upgraded to PBL2 in fall 2021: https://vancouver.ca/streets-transportation/richards-street-upgrades.aspx,,,,,,0.0824824063061888,verify_upgrade1_date,Fall 2021,2021,PBL,46,semester,,2021/09/01,2021-12-31,,,,,3,2,2021,,,2021_3,2021_2,,"2021","LINESTRING (-123.1226 49.27693, -123.1226 49.27693, -123.1231 49.27661, -123.1234 49.27641)"
"295696",vancouver,install,,E 46th Ave,Residential,Local,2013,Local Street,2013,LSB,,,,,,,,,Local Street,0.151645231720386,verify_install_date,,2013,LSB,,,,,,,,,,,,2013,,,,,,"2013","LINESTRING (-123.0455 49.2284, -123.0455 49.2284, -123.0476 49.22842)"
"295735",vancouver,upgrade1,,NW Marine Dr,Sec Arterial,Collector,1990,Painted Lanes,1990,None,"This install shows no bikeways, shared road, section near lake has lanes, but it is likely used for car parking (e.g., https://www.google.com/maps/@49.273779,-123.2057008,3a,41.2y,6.48h,82.36t/data=!3m7!1e1!3m5!1ssPPKgRYsQhLazBzLlk0RSg!2e0!5s20070901T000",2017,PL,"PL both sides, installed 2017: https://www.google.com/maps/@49.272387,-123.2043683,3a,75y,116.11h,75.9t/data=!3m7!1e1!3m5!1ssDtL7iedxUMK3bGqCjFneQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DsDtL7iedxUMK3bGqCjFneQ%26c",,,,,,0.26581830882487,verify_upgrade1_date,Sept-Dec 2017,2017,PL,6,semester,,2017/09/01,2017-12-31,,,,,3,2,2017,,,2017_3,2017_2,,"2017","LINESTRING (-123.2027 49.27157, -123.2032 49.27188, -123.2032 49.27188, -123.2034 49.27206, -123.2038 49.2722, -123.2057 49.27291)"
"295815",vancouver,install,,W 59th Ave,Residential,Local,2012,Local Street,2012,LSB,,,,,,,,,Local Street,0.0495795021828458,verify_install_date,,2012,LSB,,,,,,,,,,,,2012,,,,,,"2012","LINESTRING (-123.1245 49.21703, -123.1245 49.21703, -123.1252 49.21704)"
"295821",vancouver,install,,E 59th Ave,Residential,Local,2012,Local Street,2012,LSB,,,,,,,,,Local Street,0.0554039297489991,verify_install_date,,2012,LSB,,,,,,,,,,,,2012,,,,,,"2012","LINESTRING (-123.0793 49.2164, -123.0786 49.2164)"
"295823",vancouver,install,,W 4th Ave,Residential,Local,2012,Painted Lanes,2012,PL,"Simple painted lane, parking adjascent in some areas, no upgrades since 2012: https://www.google.com/maps/@49.2671483,-123.1127457,3a,75y,178.08h,68.96t/data=!3m8!1e1!3m6!1sxRVf2I3s1LenyX7z_eteJQ!2e0!5s20220101T000000!6shttps:%2F%2Fstreetviewpixels-pa.go",,,,,,,,,0.100577748397364,verify_install_date,,2012,PL,,,,,,,,,,,,2012,,,,,,"2012","LINESTRING (-123.1128 49.26482, -123.1128 49.26437, -123.1129 49.26392)"
